onset	duration	trial_type	block	audioOnset	audioDuration	audioOnsetIndex	eegOnsetIndex	word
2072.01953125	1.501953125	StartSaying	Inert	1850.5554627853192	1.5017522362972886	81610391	1060874	IJI
2075.267578125	1.501953125	StartReading	Inert	1853.760869805356	1.5017522362972886	81751751	1062537	UPU
2078.416015625	1.50390625	StartSaying	Inert	1857.0586567645523	1.5027953087571195	81897185	1064149	UPU
2081.578125	1.501953125	StartReading	Inert	1860.5661693146394	1.50238714996849	82051868	1065768	UNU
2084.9609375	1.50390625	StartSaying	Inert	1863.9396697291265	1.5017068853207742	82200641	1067500	UNU
2088.39453125	1.501953125	StartReading	Inert	1867.2369124766049	1.5026365803393191	82346051	1069258	AMA
2091.708984375	1.501953125	StartSaying	Inert	1870.2762895716223	1.502613904851062	82480089	1070955	AMA
2095.224609375	1.501953125	StartReading	Inert	1873.6318763503864	1.501774911785546	82628072	1072755	IPI
2098.44921875	1.501953125	StartSaying	Inert	1876.8207075885068	1.5017522362972886	82768701	1074406	IPI
2101.94921875	1.501953125	StartReading	Inert	1880.0727807633768	1.502840659733634	82912119	1076198	IFI
2105.05859375	1.50390625	StartSaying	Inert	1883.2946048369117	1.5026592558275764	83054203	1077790	IFI
2108.462890625	1.501953125	StartReading	Inert	1886.5655213425232	1.5016615343442599	83198452	1079533	UMU
2111.859375	1.5	StartSaying	Inert	1889.816165961633	1.5017522362972886	83341807	1081272	UMU
2117.1015625	1.5	StartReading	Overt	1895.1681027265602	1.502840659733634	83577830	1083956	AMA
2120.12109375	1.501953125	StartSaying	Overt	1898.5852761314306	1.5017522362972886	83728529	1085502	AMA
2123.314453125	1.50390625	StartReading	Overt	1901.669958851986	1.501888289226832	83864565	1087137	ARA
2126.408203125	1.501953125	StartSaying	Overt	1904.9749792919365	1.5017295608090315	84010318	1088721	ARA
2129.7578125	1.501953125	StartReading	Overt	1908.2062136930979	1.502863335221891	84152817	1090436	IFI
2133.048828125	1.501953125	StartSaying	Overt	1911.4880371085612	1.501774911785546	84297547	1092121	IFI
2136.5234375	1.501953125	StartReading	Overt	1914.6410410752355	1.5017522362972886	84436596	1093900	EPE
